,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
AVGGoodPercentPerDay,0.49939998984336853,0.5909779282650347,0.3299918450820555,0.0,0.007218891791009022,0.052570420904532414,0.3499999940395355,0.3672801914437644,0.17702187696280994,0.3499999940395355,0.37236975193833133,0.29335327700958524,0.7487999796867371,0.8428822941182942,0.4454638706483944,0.40619999170303345,0.4670117949494236,0.2646891314067488,1.01419997215271,1.1683616828766181,0.6326189711747789,0.7802500128746033,0.8449639009292816,0.3546048680628678,0.375,0.4581154274500315,0.2901843099419744,0.0,0.15953546095352905,0.33754183557543527,0.7105499804019928,0.8336652122455879,0.4380392247311662
AVGDneyZaloga,60.0,80.20350459233254,63.684224127833915,0.0,0.6096781631913561,6.5239400090887845,32.0,39.052951504349444,33.47064719135646,28.0,41.446097163649654,47.761306640732656,132.0,151.91358595194086,106.81344605393328,36.0,51.60448055533644,49.27504991183424,200.0,222.26803971323693,115.91264367608547,149.5,160.45487627365355,87.40965454370634,38.0,61.406929691451694,75.64791601291789,0.0,19.296153846153846,53.259882404351785,114.0,140.43985565356857,90.88403846634571
AVGDneySProshZB,82.0,129.61427541456382,131.81336462118637,0.0,9.690335013341238,74.93270337805065,0.0,43.06403128408395,122.95844786428229,60.0,145.6470015072393,227.72389643153178,62.0,127.96950092421442,173.26488428079307,99.0,186.34009097841235,248.53161581997966,26.0,59.683378088738884,121.95906998570103,20.0,26.10844250363901,28.57982065423997,516.0,605.9564997470916,413.5826847386114,106.0,128.18923076923076,94.98157290282022,61.0,94.40152365677626,97.24883271390335
AVGWeightGross,6.940400123596191,11.46947347500991,13.535913711316223,3.430000066757202,6.132513179677949,9.17063265221245,5.144500017166138,8.231574904128372,9.866089176661898,5.03000020980835,8.096262652614874,9.345031478014036,14.835050106048584,22.838597330957512,24.622075334333452,5.340000152587891,8.35605527565053,9.429159573013255,27.920000076293945,49.234911390084484,72.2283483606505,20.670599937438965,35.359032719936955,46.79125239852763,5.861999988555908,12.096255040072286,21.7407155795015,4.506900072097778,5.953120853625811,5.193894339982349,11.772850036621094,18.642101271757475,20.8122418188506
AVGWeightNet,6.555500030517578,10.85742473006524,12.8492690433675,3.244999885559082,5.805909194173218,8.771406347743405,4.829999923706055,7.740245173744044,9.328686173287679,4.75,7.650615949844205,8.900404503228804,14.063299655914307,21.607767345002454,23.13527919104487,5.065000057220459,7.9217831587779335,8.945851776238312,25.920000076293945,46.00156843714318,67.81981962777536,19.362699508666992,33.220388486222234,44.11344809780232,5.599999904632568,11.480517684885752,20.539562740752647,4.222499847412109,5.560316684567011,4.794121527079907,11.192150115966797,17.60951501439761,19.512045625258843
AVGWeightNet999,3.794800043106079,6.292126387198487,7.446973707503139,1.8669999837875366,3.374936882545388,5.167431962059752,2.7960000038146973,4.491862855938661,5.4547019259410705,2.7462000846862793,4.440301976330412,5.1959958241285165,8.165550231933594,12.56304684073692,13.526326147745886,2.9260001182556152,4.585501475005667,5.17604035463242,15.092399597167969,26.789714166435168,39.404701523964945,11.283499717712402,19.57800126778507,26.635145924884654,3.234250068664551,6.6364058239529635,11.843123475822305,2.455899953842163,3.218446380289701,2.8246402207518826,6.480249881744385,10.223890395641309,11.35734677685181
AVGWeightNotBrilliant,0.3441999852657318,1.0192305640805364,3.529895230400165,0.0,0.34261141440859627,1.6234256741037691,0.07999999821186066,0.6073171311673989,1.9553795572286596,0.21660000085830688,0.6892923602747342,1.9897950690393726,0.6520000100135803,1.96188338559957,5.583148603360777,0.2611500024795532,0.7371425731957344,2.475902349475379,1.1691999435424805,4.344128907222681,12.73823315141375,1.5604000091552734,3.5882902417312956,6.794403305642961,0.2199999988079071,0.8356972441365061,2.956065512721796,0.3499999940395355,0.7102303863603335,1.5507574109946367,0.5412999987602234,1.6102970244425685,4.549916868680403
AVGCostPerGram,1167.3116455078125,1161.728489751162,189.67210838208047,1349.7529907226562,1295.3018823942773,233.26568328650276,1319.7550659179688,1264.7862935706428,210.58387164196674,1281.891845703125,1245.6984405130784,190.55171397149783,1130.0454711914062,1134.4893301737761,180.61356729251486,1207.5831909179688,1188.198189796674,186.50871949337622,1257.770263671875,1237.0127844926901,208.025608298186,1160.5770874023438,1167.5464646562912,157.43592207373715,979.9777526855469,982.9544235754327,149.91620533033299,1151.6356811523438,1132.3223600416918,172.06056934855198,1176.8392333984375,1171.60829226464,182.76569953767873
AVGCost,8046.0,13662.481122041032,16445.317275118094,4414.0,7999.505308801981,12260.998989110692,6409.0,10456.418846728488,12807.57901552717,6239.5,10171.10890633497,12013.853818529893,16607.0302734375,25564.592863634236,27163.18593574919,6379.416748046875,10131.33181674427,11591.437706005185,33936.0,61391.8970826702,92304.27014994482,24828.470703125,41860.8337188232,56911.522409244026,5665.191650390625,12098.000292132103,23073.87831964011,5064.066650390625,6780.402675030048,6262.030365250491,13636.48779296875,21854.506218821658,24475.253301185076
MaxCost,20505.0,42812.50094142725,75368.16873085877,4550.0,8454.513726540641,13762.914967838275,8078.0,16003.72312834332,26285.73969957292,10110.0,21871.846492870653,40250.27896435043,54829.5,91094.94061527065,125687.97781073798,13636.0,26996.732262243295,41878.43399684396,79914.0,155747.16720885923,271569.9290344303,143938.5,331216.4593951851,660362.1782184447,10107.7001953125,24727.56786391587,52335.15153314622,10094.0,15189.154612567609,20940.233415251852,39374.0,70930.0199222372,120254.79875511688
